names,careerLength,w1,v1,x1,y1,z1,w2,v2,x2,y2,z2,w3,v3,x3,y3,z3,w4,v4,x4,y4,z4,w5,v5,x5,y5,z5,w6,v6,x6,y6,z6,w7,v7,x7,y7,z7,w8,v8,x8,y8,z8,w9,v9,x9,y9,z9,w10,v10,x10,y10,z10
null,0,2012,LAA,0.285,4.942339374,0.172981878,1925,NYY,0.29,6.963788301,0.183844011,1997,SF,0.291,7.518796992,0.189849624,1934,NYY,0.363,8.462867012,0.284974093,1908,PIT,0.354,1.76056338,0.191901408,1962,NYY,0.321,7.957559682,0.236074271,1916,DET,0.371,0.922509225,0.125461255,1953,BOS,0.407,14.28571429,0.373626374,1950,NYY,0.301,6.095238095,0.232380952,1963,SF,0.314,6.375838926,0.172818792
null,0,2013,LAA,0.258,4.347826087,0.163682864,1926,NYY,0.372,9.494949495,0.294949495,1998,SF,0.303,6.702898551,0.221014493,1935,NYY,0.329,5.607476636,0.222429907,1909,PIT,0.339,1.01010101,0.202020202,1963,NYY,0.314,8.720930233,0.203488372,1917,DET,0.383,1.020408163,0.173469388,1954,BOS,0.345,7.512953368,0.230569948,1951,NYY,0.263,2.891566265,0.171084337,1964,SF,0.296,8.131487889,0.192041522
null,0,2014,LAA,0.272,4.423380727,0.165876777,1927,NYY,0.356,11.11111111,0.303703704,1999,SF,0.262,9.577464789,0.233802817,1936,NYY,0.354,8.462867012,0.262521589,1910,PIT,0.32,0.71942446,0.145683453,1964,NYY,0.303,7.52688172,0.238709677,1918,DET,0.382,0.712589074,0.152019002,1955,BOS,0.356,8.75,0.259375,1951,NYY,0.263,2.891566265,0.171084337,1965,SF,0.317,9.318996416,0.200716846
null,0,2015,LAA,0.244,6.644518272,0.157807309,1928,NYY,0.323,10.07462687,0.264925373,2000,SF,0.306,10.20833333,0.220833333,1937,NYY,0.351,6.502636204,0.27943761,1911,PIT,0.334,1.902748414,0.188160677,1965,NYY,0.255,5.263157895,0.127423823,1919,DET,0.384,0.201207243,0.14084507,1956,BOS,0.345,6,0.205,1951,NYY,0.263,2.891566265,0.171084337,1966,SF,0.288,6.702898551,0.186594203
null,0,2015,LAA,0.244,6.644518272,0.157807309,1929,NYY,0.345,9.218436874,0.308617234,2001,SF,0.328,15.33613445,0.287815126,1938,NYY,0.295,5.034722222,0.197916667,1912,PIT,0.324,1.254480287,0.182795699,1966,NYY,0.288,6.906906907,0.168168168,1920,DET,0.334,0.46728972,0.147196262,1957,BOS,0.388,9.047619048,0.207142857,1951,NYY,0.263,2.891566265,0.171084337,1967,SF,0.263,4.526748971,0.144032922
null,0,2015,LAA,0.244,6.644518272,0.157807309,1930,NYY,0.359,9.459459459,0.295366795,2002,SF,0.37,11.41439206,0.272952854,1939,NYY,0.143,0,0.035714286,1913,PIT,0.3,0.726392252,0.13559322,1967,NYY,0.245,5,0.125,1921,DET,0.389,2.366863905,0.199211045,1958,BOS,0.328,6.326034063,0.206812652,1951,NYY,0.263,2.891566265,0.171084337,1968,SF,0.289,4.618473896,0.158634538
null,0,2015,LAA,0.244,6.644518272,0.157807309,1931,NYY,0.373,8.61423221,0.305243446,2003,SF,0.341,11.53846154,0.230769231,1939,NYY,0.143,0,0.035714286,1914,PIT,0.252,0.18115942,0.09057971,1968,NYY,0.237,4.137931034,0.124137931,1922,DET,0.401,0.760456274,0.188212928,1959,BOS,0.254,3.676470588,0.158088235,1951,NYY,0.263,2.891566265,0.171084337,1969,SF,0.283,3.225806452,0.143920596
null,0,2015,LAA,0.244,6.644518272,0.157807309,1932,NYY,0.341,8.971553611,0.299781182,2004,SF,0.362,12.06434316,0.27077748,1939,NYY,0.143,0,0.035714286,1915,PIT,0.274,1.060070671,0.137809187,1968,NYY,0.237,4.137931034,0.124137931,1923,DET,0.34,1.079136691,0.158273381,1960,BOS,0.316,9.35483871,0.232258065,1951,NYY,0.263,2.891566265,0.171084337,1970,SF,0.291,5.857740586,0.173640167
null,0,2015,LAA,0.244,6.644518272,0.157807309,1933,NYY,0.301,7.407407407,0.224400871,2005,SF,0.286,11.9047619,0.238095238,1939,NYY,0.143,0,0.035714286,1916,PIT,0.287,0.231481481,0.090277778,1968,NYY,0.237,4.137931034,0.124137931,1924,DET,0.338,0.64,0.1264,1960,BOS,0.316,9.35483871,0.232258065,1951,NYY,0.263,2.891566265,0.171084337,1971,SF,0.271,4.316546763,0.146282974
null,0,2015,LAA,0.244,6.644518272,0.157807309,1934,NYY,0.288,6.02739726,0.230136986,2006,SF,0.27,7.084468665,0.209809264,1939,NYY,0.143,0,0.035714286,1917,PIT,0.265,0,0.104347826,1968,NYY,0.237,4.137931034,0.124137931,1925,DET,0.378,2.891566265,0.245783133,1960,BOS,0.316,9.35483871,0.232258065,1951,NYY,0.263,2.891566265,0.171084337,1972,"NYM, SF",0.25,3.278688525,0.090163934
null,0,2015,LAA,0.244,6.644518272,0.157807309,1935,BOS,0.181,8.333333333,0.166666667,2007,SF,0.276,8.235294118,0.194117647,1939,NYY,0.143,0,0.035714286,1917,PIT,0.265,0,0.104347826,1968,NYY,0.237,4.137931034,0.124137931,1926,DET,0.339,1.716738197,0.266094421,1960,BOS,0.316,9.35483871,0.232258065,1951,NYY,0.263,2.891566265,0.171084337,1973,NYM,0.211,2.870813397,0.119617225
null,0,2015,LAA,0.244,6.644518272,0.157807309,1935,BOS,0.181,8.333333333,0.166666667,2007,SF,0.276,8.235294118,0.194117647,1939,NYY,0.143,0,0.035714286,1917,PIT,0.265,0,0.104347826,1968,NYY,0.237,4.137931034,0.124137931,1927,PHA,0.357,1.020408163,0.189795918,1960,BOS,0.316,9.35483871,0.232258065,1951,NYY,0.263,2.891566265,0.171084337,1973,NYM,0.211,2.870813397,0.119617225
null,0,2015,LAA,0.244,6.644518272,0.157807309,1935,BOS,0.181,8.333333333,0.166666667,2007,SF,0.276,8.235294118,0.194117647,1939,NYY,0.143,0,0.035714286,1917,PIT,0.265,0,0.104347826,1968,NYY,0.237,4.137931034,0.124137931,1928,PHA,0.323,0.283286119,0.113314448,1960,BOS,0.316,9.35483871,0.232258065,1951,NYY,0.263,2.891566265,0.171084337,1973,NYM,0.211,2.870813397,0.119617225
